"section","Frequency rank","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss ES","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_ES","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula ES","meaning fixed","Qal=1 ES","Nifal=2 ES","Piel=3 ES","Pual=4 ES","Hitpael=5 ES","Hifil=6 ES","Hofal=7 ES","Hishtafal=8 ES","Passive qal=9 ES","Etpaal=1 ES","Nitpael=11 ES","Hotpaal=12 ES","Tifal=13 ES","Hitpoal=14 ES","Poal=15 ES","Poel=16 ES"
"sec0113",1,50273,1953,"W","וְ ",,,,,", , , ",,"conj",,"and",,,"Mitchel_Sec1.A (50273-2200)",,"y; también, aún; pero","y; también, aún; pero",,"done",,,,,,,,,,,,,,,,
"sec0111",2,30380,1793,"H","הַ I",,,,,", , , ",,"art",,"the",,,"Mitchel_Sec1.A (50273-2200)",," el, la, los, las"," el, la, los, las",,"done",,,,,,,,,,,,,,,,
"sec0120",3,20069,3682,"L","לְ ",,,,,", , , ",,"prep",,"to, in regard to, for",,,"Mitchel_Sec1.A (50273-2200)",,"a, hacia (prep); Haz, Sí (voc); con respecto a, por  ","a, hacia (prep); Haz, Sí (voc); con respecto a, por  ",,"done",,,,,,,,,,,,,,,,
"sec0108",4,15541,834,"B","בְּ ",,,,,", , , ",,"prep",,"in, at (time, place); with; by; by means of",,,"Mitchel_Sec1.A (50273-2200)",,"en, a (hora, lugar); con; por; por medio de","en, a (hora, lugar); con; por; por medio de",,"done",,,,,,,,,,,,,,,,
"sec0107",5,11016,814,">T","אֵת I",,,,,", , , ",,"prep",,"<object marker>",,,"Mitchel_Sec1.A (50273-2200)",,"<OD> signo de objeto, objecto directo","<OD> signo de objeto, objecto directo",,"done",,,,,,,,,,,,,,,,
"sec0123",6,7562,4343,"MN","מִן I",,,,,", , , ",,"prep",,"from, out of",,,"Mitchel_Sec1.B (2199-1000)",,"de, desde, fuera de, porque, debido a (prep); que (comp)","de, desde, fuera de, porque, debido a (prep); que (comp)",,"done",,,,,,,,,,,,,,,,
"sec0114",7,6828,2965,"JHWH/","יְהוָה ",,,,,", , , ",,"nmpr",,"the Lord, Yhwh",,,"Mitchel_Sec1.A (50273-2200)",,"Jehová, El Señor","Jehová, El Señor, YHWH",,"done",,,,,,,,,,,,,,,,
"sec0124",8,5766,5796,"<L","עַל ",,,,,", , , ",,"prep",,"upon, over; on account of; against, opposite to",,,"Mitchel_Sec1.A (50273-2200)",,"en, encima de, contra, sobre (prep); por cuenta de; opuesto a","en, encima de, contra, sobre (prep); por cuenta de; opuesto a",,"done",,,,,,,,,,,,,,,,
"sec0102",9,5517,392,">L","אֶל I",,,,,", , , ",,"prep",,"towards",,,"Mitchel_Sec1.A (50273-2200)",,"a, hacia (prep), hasta","a, hacia (prep), hasta",,"done",,,,,,,,,,,,,,,,
"sec0106",10,5500,797,">CR","אֲשֶׁר ",,,,,", , , ",,"conj",,"that which; the one who(m)",,,"Mitchel_Sec1.A (50273-2200)",,"quien, cual, que","quien, cual, que",,"done",,,,,,,,,,,,,,,,
"sec0119",11,5412,3485,"KL/","כֹּל ",,,,,", , , ",,"subs",,"the whole, all",,,"Mitchel_Sec1.A (50273-2200)",,"todo, toda, todos, todas, cada ","todo, toda, todos, todas, cada ",,"done",,,,,,,,,,,,,,,,
