"original order","Book","Chapter","Verse","lex","Verb classes","Verb classes correction","g_word_noaccent1","not usable for exercises because K/Q","g_word_nocant_utf8","ps","nu","gn","vt","vs","suffix_person","suffix_number","suffix_gender","st","ps2","nu2","gn2","vt2","vs2","suffix_person2","suffix_number2","suffix_gender2","st2","ps3","nu3","gn3","vt3","vs3","suffix_person3","suffix_number3","suffix_gender3","st3","ps4","nu4","gn4","vt4","vs4","suffix_person4","suffix_number4","suffix_gender4","st4"
1,"Jeremia",10,11,">MR[","(i_aleph)",,"T.;>M:RW.N",,"תֵּאמְרוּן","p2","pl","m","impf","peal","unknown","unknown","unknown","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Jeremia",10,11,"<BD[","(i_guttural)",,"<:ABADW.",,"עֲבַדוּ","p3","pl","m","perf","peal","unknown","unknown","unknown","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Jeremia",10,11,">BD[","(i_aleph)",,"J;>BADW.",,"יֵאבַדוּ","p3","pl","m","impf","peal","unknown","unknown","unknown","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Daniel",2,4,"XJH[","(iii_he,i_guttural)",,"X:EJIJ",,"חֱיִי","p2","sg","m","impv","peal","unknown","unknown","unknown","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Daniel",2,4,">MR[","(i_aleph)",,">:EMAR",,"אֱמַר","p2","sg","m","impv","peal","unknown","unknown","unknown","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Daniel",2,4,"XWH[","(iii_he,i_guttural)",,"N:XAW.;>",,"נְחַוֵּֽא","p1","pl","unknown","impf","pael","unknown","unknown","unknown","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Daniel",2,5,"<NH[","(iii_he,i_guttural)",,"<@N;H",,"עָנֵה","unknown","sg","m","ptca","peal","unknown","unknown","unknown","a","unknown","sg","m","ptcp","peal","unknown","unknown","unknown","a","unknown","sg","m","ptca","peal","unknown","unknown","unknown","c","unknown","sg","m","ptcp","peal","unknown","unknown","unknown","c"
8,"Daniel",2,5,">MR[","(i_aleph)",,">@MAR",,"אָמַר","unknown","sg","m","ptca","peal","unknown","unknown","unknown","a","unknown","sg","m","ptca","peal","unknown","unknown","unknown","c",,,,,,,,,,,,,,,,,,
9,"Daniel",2,5,"JD<[","(i_waw,iii_guttural)",,"T:HOWD:<W.N.ANIJ",,"תְהֹֽודְעוּנַּנִי","p2","pl","m","impf","haf","p1","sg","unknown","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Daniel",2,5,"<BD[","(i_guttural)",,"T.IT:<AB:DW.N",,"תִּתְעַבְדוּן","p2","pl","m","impf","htpe","unknown","unknown","unknown","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"Daniel",2,5,"FJM[","(ii_yod)",,"JIT.:F@MW.N",,"יִתְּשָׂמֽוּן","p3","pl","m","impf","htpe","unknown","unknown","unknown","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Daniel",2,6,"XWH[","(iii_he,i_guttural)",,"T.:HAX:AWON",,"תְּֽהַחֲוֹן","p2","pl","m","impf","haf","unknown","unknown","unknown","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"Daniel",2,6,"QBL[","(regular)",,"T.:QAB.:LW.N",,"תְּקַבְּלוּן","p2","pl","m","impf","pael","unknown","unknown","unknown","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Daniel",2,6,"XWH[","(iii_he,i_guttural)",,"HAX:AWONIJ",,"הַחֲוֹֽנִי","p2","pl","m","impv","haf","p1","sg","unknown","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"Daniel",2,7,"<NH[","(iii_he,i_guttural)",,"<:ANOW",,"עֲנֹו","p3","pl","m","perf","peal","unknown","unknown","unknown","NA","p2","pl","m","impv","peal","unknown","unknown","unknown","NA",,,,,,,,,,,,,,,,,,
16,"Daniel",2,7,">MR[","(i_aleph)",,">@M:RIJN",,"אָמְרִין","unknown","pl","m","ptca","peal","unknown","unknown","unknown","a",,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Daniel",2,7,">MR[","(i_aleph)",,"J;>MAR",,"יֵאמַר","p3","sg","m","impf","peal","unknown","unknown","unknown","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Daniel",2,7,"XWH[","(iii_he,i_guttural)",,"N:HAX:AW;H",,"נְהַחֲוֵֽה","p1","pl","unknown","impf","haf","unknown","unknown","unknown","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Daniel",2,8,"<NH[","(iii_he,i_guttural)",,"<@N;H",,"עָנֵה","unknown","sg","m","ptca","peal","unknown","unknown","unknown","a","unknown","sg","m","ptcp","peal","unknown","unknown","unknown","a","unknown","sg","m","ptca","peal","unknown","unknown","unknown","c","unknown","sg","m","ptcp","peal","unknown","unknown","unknown","c"
20,"Daniel",2,8,">MR[","(i_aleph)",,">@MAR",,"אָמַר","unknown","sg","m","ptca","peal","unknown","unknown","unknown","a","unknown","sg","m","ptca","peal","unknown","unknown","unknown","c",,,,,,,,,,,,,,,,,,
21,"Daniel",2,8,"JD<[","(i_waw,iii_guttural)",,"J@DA<",,"יָדַע","unknown","sg","m","ptca","peal","unknown","unknown","unknown","a","unknown","sg","m","ptca","peal","unknown","unknown","unknown","c",,,,,,,,,,,,,,,,,,
22,"Daniel",2,8,"ZBN[","(regular)",,"Z@B:NIJN",,"זָבְנִין","unknown","pl","m","ptca","peal","unknown","unknown","unknown","a",,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Daniel",2,8,"XZH[","(iii_he,i_guttural)",,"X:AZ;JTOWN",,"חֲזֵיתֹון","p2","pl","m","perf","peal","unknown","unknown","unknown","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Daniel",2,9,"JD<[","(i_waw,iii_guttural)",,"T:HOWD:<UN.ANIJ",,"תְהֹֽודְעֻנַּנִי","p2","pl","m","impf","haf","p1","sg","unknown","NA",,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"Daniel",2,9,"CXT[","(ii_guttural)",,"C:XIJT@H",,"שְׁחִיתָה","unknown","sg","f","ptcp","peal","unknown","unknown","unknown","a","p3","pl","f","perf","peil","unknown","unknown","unknown","NA",,,,,,,,,,,,,,,,,,
