"section","Frequency rank","Occurrences","absolut alphabetic order","Lexeme in lexicon","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","Part of speech","Verbal stems","Current EN glosses","Current PT glosses","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss EN","Mitchel non-verb gloss PT","New glosses (verbs:prioritized displayed meaning of verbs) without excel formula (ready for export) EN","New glosses (verbs:prioritized displayed meaning of verbs) without excel formula (ready for export) PT","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula PT","meaning fixed","Qal=1 EN","Qal=1 PT","Nifal=2 EN","Nifal=2 PT","Piel=3 EN","Piel=3 PT","Pual=4 EN","Pual=4 PT","Hitpael=5 EN","Hitpael=5 PT","Hifil=6 EN","Hifil=6 PT","Hofal=7 EN","Hofal=7 PT","Hishtafal=8 EN","Hishtafal=8 PT","Passive qal EN","Passive qal PT","Hotpaal","Etpaal","Nitpael","Tifal"
"sec0113",1,50273,1955,"W","וְ",,,,,"conj",,"and",,,,"Mitchel_Sec1.A (50273-2200)",,"and; also, even (pref conj)","e","and; also, even (conj); but","e","and; also, even (conj); but",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0111",2,30380,1796,"H","הַ",,,,,"art",,"the","o, a, os, as",,,"Mitchel_Sec1.A (50273-2200)",,,,"the (art)","o, a, os, as","the (art)",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0120",3,20069,3685,"L","לְ",,,,,"prep",,"to, in regard to, for",,,,"Mitchel_Sec1.A (50273-2200)",,"to, toward (pref prep); Do! Yes! (voc)","para, no que diz respeito","to, toward (prep); Do, Yes, (voc); in regard to, for","para, no que diz respeito","to, toward (prep); Do, Yes, (voc); in regard to, for",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0108",4,15541,833,"B","בְּ",,,,,"prep",,"in, at (time, place); with; by; by means of","dentro de, em, com, por",,,"Mitchel_Sec1.A (50273-2200)",,,,"in, at (time, place); with; by; by means of","dentro de, em, com, por","in, at (time, place); with; by; by means of",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0107",5,11019,813,">T","אֵת",,,,,"prep",,"<object marker>",,,,"Mitchel_Sec1.A (50273-2200)",,"object marker","em, com","<OM>; object marker","em, com","<OM>; object marker",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0123",6,7561,4343,"MN","מִן",,,,,"prep",,"from, out of",,,,"Mitchel_Sec1.B (2199-1000)",,"from, out of, part of, because of (prep); than (comp)","de, desde","from, out of, part of, because of (prep); than (comp)","de, desde","from, out of, part of, because of (prep); than (comp)",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0114",7,6828,2967,"JHWH/","יְהוָה",,,,,"nmpr",,"the Lord, Yhwh","SENHOR",,,"Mitchel_Sec1.A (50273-2200)",,,,"YHWH, LORD","SENHOR","YHWH, LORD",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0124",8,5765,5795,"<L","עַל",,,,,"prep",,"upon, over; on account of; against, opposite to",,,,"Mitchel_Sec1.A (50273-2200)",,"on, upon, against, over (prep)","sobre, em cima","on, upon, against, over (prep); on account of; opposite to","sobre, em cima","on, upon, against, over (prep); on account of; opposite to",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0102",9,5517,396,">L","אֶל",,,,,"prep",,"towards",,,,"Mitchel_Sec1.A (50273-2200)",,"unto, toward (prep)","para, até","toward (prep), unto; towards","para, até","toward (prep), unto; towards",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0106",10,5500,798,">CR","אֲשֶׁר",,,,,"conj",,"that which; the one who(m)",,,,"Mitchel_Sec1.A (50273-2200)",,"who, which, that (rel pr)","quem, qual, cujo","who, which, that","quem, qual, cujo","who, which, that",,"done",,,,,,,,,,,,,,,,,,,,,,
"sec0119",11,5412,3487,"KL/","כֹּל",,,,,"subs",,"the whole, all",,,,"Mitchel_Sec1.A (50273-2200)",,"all, every","todo, totatlidade","all, every","todo, totatlidade","all, every",,"done",,,,,,,,,,,,,,,,,,,,,,
