"section","Frequency rank","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss EN","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","meaning fixed","Qal=1 EN","Nifal=2 EN","Piel=3 EN","Pual=4 EN","Hitpael=5 EN","Hifil=6 EN","Hofal=7 EN","Hishtafal=8 EN","Passive qal=9 EN","Etpaal=10 EN","Nitpael=11 EN","Hotpaal=12 EN","Tifal=13 EN","Hitpoal=14 EN","Poal=15 EN","Poel=16 EN"
"sec0201",36,1217,1,">B/","אָב I",,,,,", , , ",,"subs",,"father",,,"Mitchel_Sec1.B (2199-1000)",,"father","father",,"done",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4631,2,2,">B=/","אֵב II",,,,,", , , ",,"subs",,"bud, shoot",,,,,"bud, shoot","bud, shoot",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5917,1,3,">BGT>/","אֲבַגְתָא ",,,,,", , , ",,"nmpr",,"Abagtha",,,,,"Abagtha","Abagtha",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sec1101",257,186,4,">BD[","אבד ","i-aleph",,,,"i-aleph, , , ","i-aleph","verb","hif piel qal","perish, to be killed",,,"Mitchel_Sec3.A (199-175)",,,"qal: perish; pi: destroy; hi: exterminate;","qal: perish; qal pass: 0; ni: 0; pi: destroy; pu: 0; hit: 0; hi: exterminate; ho: 0; hst: 0; etp: 0; nitp: 0; hotpa: 0; tif: 0; hitpo: 0; poa: 0; poe: 0.","Q=1","perish",0,"destroy",0,0,"exterminate",0,0,0,0,0,0,0,0,0,0
,3512,4,5,">BDH/","אֲבֵדָה I",,,,,", , , ",,"subs",,"a lost thing",,,,,"a lost thing","a lost thing",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5914,1,6,">BDH=/","אֲבַדֹּה II",,,,,", , , ",,"subs",,"(place of) destruction",,,,,"(place of) destruction","(place of) destruction",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3158,5,7,">BDWN/","אֲבַדֹּון ",,,,,", , , ",,"subs",,"(place of) destruction",,,,,"(place of) destruction","(place of) destruction",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5915,1,8,">BDN/","אַבְדָן I",,,,,", , , ",,"subs",,"destruction",,,,,"destruction","destruction",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5916,1,9,">BDN=/","אָבְדָן II",,,,,", , , ",,"subs",,"destruction",,,,,"destruction","destruction",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5918,1,10,">BH/","אֵבֶה ",,,,,", , , ",,"subs",,"reed",,,,,"reed","reed",,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
