"section","booklet number (frequency+alphabetic)","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","x","x","x","x","New glosses, non-verbs","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","meaning fixed","Peal=1","Pael=2","Peil=3","Hafel=4","Hofal=5","Afel=6","Shafel=7","Hitpeel=8","Hitpaal=9","Hishtafal=10","Etpaal=11","Etpeel=12"
,1,731,197,"W","וְ",,,,,", , , ",,"conj",,"and, but, also",,,,,,"and, but, also",,"done",,,,,,,,,,,,
,2,378,340,"L","לְ",,,,,", , , ",,"prep",,"to; for; in regard to; <object marker>",,,,,"to; for; in regard to; <OM>, <object marker>","to; for; in regard to; <OM>, <object marker>",,"done",,,,,,,,,,,,
,3,345,157,"DJ","דִּי",,,,,", , , ",,"prep",,"<relative particle>, <genitive particle>, <introduction of direct speech>",,,,,"who, which, that, <RP>, <relative particle>, <genitive particle>, <introduction of direct speech>","who, which, that, <RP>, <relative particle>; <genitive particle>; <introduction of direct speech>",,"done",,,,,,,,,,,,
,4,226,84,"B","בְּ",,,,,", , , ",,"prep",,"in, through, with",,,,,,"in, through, with",,"done",,,,,,,,,,,,
,5,180,380,"MLK/","מֶלֶךְ",,,,,", , , ",,"subs",,"king",,,,,,"king",,"done",,,,,,,,,,,,
,6,119,384,"MN","מִן",,,,,", , , ",,"prep",,"from; more than; since; according to",,,,,,"from; more than; since; according to",,"done",,,,,,,,,,,,
,7,104,487,"<L","עַל",,,,,", , , ",,"prep",,"upon, over, against, concerning",,,,,,"upon, over, towards, against, concerning",,"done",,,,,,,,,,,,
,8,95,30,">LH/","אֱלָהּ",,,,,", , , ",,"subs",,"god, God",,,,,,"god, God",,"done",,,,,,,,,,,,
,9,83,319,"KL/","כֹּל",,,,,", , , ",,"subs",,"totality; whole; every",,,,,,"totality; whole; every",,"done",,,,,,,,,,,,
,10,82,341,"L>","לָא",,,,,", , , ",,"nega",,"not",,,,,,"not",,"done",,,,,,,,,,,,
,11,71,40,">MR[","אמר","i-aleph",,"iii-guttural",,"i-aleph, , iii-guttural, ","i-aleph, iii-guttural","verb","peal","say",,,,,,"peal: say","peal: say; pael: ; peil: ; haf: ; hof: ; af: ; shaf: ; hitpe: ; hitpa: ; hisht: ; etpa: ; etpe: .","Peal=1","say",,,,,,,,,,,
