"section","booklet number (frequency+alphabetic)","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","semantic domain","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss EN","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","meaning fixed","Qal=1 EN","Nifal=2 EN","Piel=3 EN","Pual=4 EN","Hitpael=5 EN","Hifil=6 EN","Hofal=7 EN","Hishtafal=8 EN","Passive qal=9 EN","Etpaal=1 EN","Nitpael=11 EN","Hotpaal=12 EN","Tifal=13 EN","Hitpoal=14 EN","Poal=15 EN","Poel=16 EN"
"sec0113",1,50273,1953,"W","וְ ",,,,,", , , ",,"conj",,"and",,,,"Mitchel_Sec1.A (50273-2200)",,"and; also, even (conj); but","and; also, even (conj); but",,"done",,,,,,,,,,,,,,,,
"sec0111",2,30380,1793,"H","הַ I",,,,,", , , ",,"art",,"the",,,,"Mitchel_Sec1.A (50273-2200)",,"the (art)","the (art)",,"done",,,,,,,,,,,,,,,,
"sec0120",3,20069,3682,"L","לְ ",,,,,", , , ",,"prep",,"to, in regard to, for",,,,"Mitchel_Sec1.A (50273-2200)",,"to, toward (prep); Do, Yes, (voc); in regard to, for","to, toward (prep); Do, Yes, (voc); in regard to, for",,"done",,,,,,,,,,,,,,,,
"sec0108",4,15541,834,"B","בְּ ",,,,,", , , ",,"prep",,"in, at (time, place); with; by; by means of",,,,"Mitchel_Sec1.A (50273-2200)",,"in, at (time, place); with; by; by means of","in, at (time, place); with; by; by means of",,"done",,,,,,,,,,,,,,,,
"sec0107",5,11016,814,">T","אֵת I",,,,,", , , ",,"prep",,"<object marker>",,,,"Mitchel_Sec1.A (50273-2200)",,"<OM>; object marker","<OM>; object marker",,"done",,,,,,,,,,,,,,,,
"sec0123",6,7562,4343,"MN","מִן I",,,,,", , , ",,"prep",,"from, out of",,,,"Mitchel_Sec1.B (2199-1000)",,"from, out of, part of, because of (prep); than (comp)","from, out of, part of, because of (prep); than (comp)",,"done",,,,,,,,,,,,,,,,
"sec0114",7,6828,2965,"JHWH/","יְהוָה ",,,,,", , , ",,"nmpr",,"the Lord, Yhwh",,,,"Mitchel_Sec1.A (50273-2200)",,"YHWH, LORD","YHWH, LORD",,"done",,,,,,,,,,,,,,,,
"sec0124",8,5766,5796,"<L","עַל ",,,,,", , , ",,"prep",,"upon, over; on account of; against, opposite to",,,,"Mitchel_Sec1.A (50273-2200)",,"on, upon, against, over (prep); on account of; opposite to","on, upon, against, over (prep); on account of; opposite to",,"done",,,,,,,,,,,,,,,,
"sec0102",9,5517,392,">L","אֶל I",,,,,", , , ",,"prep",,"towards",,,,"Mitchel_Sec1.A (50273-2200)",,"toward (prep), unto; towards","toward (prep), unto; towards",,"done",,,,,,,,,,,,,,,,
"sec0106",10,5500,797,">CR","אֲשֶׁר ",,,,,", , , ",,"conj",,"that which; the one who(m)",,,,"Mitchel_Sec1.A (50273-2200)",,"who, which, that","who, which, that",,"done",,,,,,,,,,,,,,,,
