"section","fa_order","Occurrences","absolut alphabetic order","lex","Vocalized lexeme","cs.sg form","pl.abs form","verbal class 1st cons","verbal class 2nd cons","verbal class 3rd cons","verbal class other","verbal class list with formula","verbal class list witout formula","Part of speech","Verbal stems","Current EN glosses","semantic domain","Vocalized lexeme as in Mitchel (print edition)","Vocalized lexeme as in Mitchel (Logos version)","Mitchel Section","Rational for change","Mitchel non-verb gloss EN","New glosses_with_prioritized displayed meaning of verbs_without_excel_formula_EN","New glosses (verbs:prioritized displayed meaning of verbs) with excel formula EN","prioritized meaning","Qal=1 EN","Nifal=2 EN","Piel=3 EN","Pual=4 EN","Hitpael=5 EN","Hifil=6 EN","Hofal=7 EN","Hishtafal=8 EN","Passive qal=9 EN","Etpaal=1 EN","Nitpael=11 EN","Hotpaal=12 EN","Tifal=13 EN","Hitpoal=14 EN","Poal=15 EN","Poel=16 EN","BHVB","BiblicalHebrewVocabularyBuilderSub-Section","Occurrences","old BiblicalHebrewVocabularyBuilderSection","old BiblicalHebrewVocabularyBuilderSub-Section"
,3254,5,7908,"FM>L[","שׂמאל ",,,,,,"4 root verb",", , , 4 root verb","4 root verb","verb","hif","go left; use left hand",,,,,,,"hi: go left; use left hand.","hi: go left; use left hand; qal: ; qal pass: ; ni: ; pi: ; pu: ; hit: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","H=6",,,,,,"go left; use left hand",,,,,,,,,,,"Remaining",,5,"Remaining",
,7049,1,3616,"KRBL[","כרבל ",,,,,,"4 root verb",", , , 4 root verb","4 root verb","verb","pual","wrap",,,,,,,"pu: wrap.","pu: wrap; qal: ; qal pass: ; ni: ; pi: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=4",,,,"wrap",,,,,,,,,,,,,"Remaining",,1,"Remaining",
,7060,1,3643,"KRSM[","כרסם ",,,,,,"4 root verb",", , , 4 root verb","4 root verb","verb","piel","eat away",,,,,,,"pi: eat away.","pi: eat away; qal: ; qal pass: ; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=3",,,"eat away",,,,,,,,,,,,,,"Remaining",,1,"Remaining",
,7903,1,7251,"RVPC[","רטפשׁ ",,,,,,"4 root verb",", , , 4 root verb","4 root verb","verb","qal","grow fresh?",,,,,,,"qal: grow fresh?.","qal: grow fresh?; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","grow fresh?",,,,,,,,,,,,,,,,"Remaining",,1,"Remaining",
,7936,1,5287,"S>S>[","סאסא ",,,,,,"4 root verb",", , , 4 root verb","4 root verb","verb","piel","scare",,,,,,,"pi: scare.","pi: scare; qal: ; qal pass: ; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=3",,,"scare",,,,,,,,,,,,,,"Remaining",,1,"Remaining",
,8084,1,8492,"TRGM[","תרגם ",,,,,,"4 root verb",", , , 4 root verb","4 root verb","verb","pual","interpreted",,,,,,,"pu: interpreted.","pu: interpreted; qal: ; qal pass: ; ni: ; pi: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=4",,,,"interpreted",,,,,,,,,,,,,"Remaining",,1,"Remaining",
,8110,1,2776,"V>V>[","טאטא ",,,,,,"4 root verb",", , , 4 root verb","4 root verb","verb","piel","sweep",,,,,,,"pi: sweep.","pi: sweep; qal: ; qal pass: ; ni: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=3",,,"sweep",,,,,,,,,,,,,,"Remaining",,1,"Remaining",
,8320,1,2532,"XSPS[","חספס ",,,,,,"4 root verb",", , , 4 root verb","4 root verb","verb","pual","crackle",,,,,,,"pu: crackle.","pu: crackle; qal: ; qal pass: ; ni: ; pi: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=4",,,,"crackle",,,,,,,,,,,,,"Remaining",,1,"Remaining",
"sec1217",290,161,5293,"SBB[","סבב ",,,,,,"geminate",", , , geminate","geminate","verb","hif hof nif piel qal","turn, surround",,,,"Mitchel_Sec3.B (174-160)",,,"qal: turn around; ni: change direction; surround; pi: change; hi: cause to turn around; ho: be set in motion; be changed.","qal: turn around; qal pass: ; ni: change direction; surround; pi: change; pu: ; hit: ; hi: cause to turn around; ho: be set in motion; be changed; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","turn around","change direction; surround","change",,,"cause to turn around","be set in motion; be changed",,,,,,,,,,"Section_no03","C",161,"Section no02","C"
,472,86,7940,"CMM[","שׁמם ",,,,,,"geminate",", , , geminate","geminate","verb","hif hit hof nif piel qal","be desolate; be appalled",,,,"Mitchel_Sec4.A (99-93)",,,"qal: be astonished; be desolate; ni: be made desolate; be appalled; pi: be desolate; be appalled; hit: be astonished; hi: make desolated; ho: desolation.","qal: be astonished; be desolate; qal pass: ; ni: be made desolate; be appalled; pi: be desolate; be appalled; pu: ; hit: be astonished; hi: make desolated; ho: desolation; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","be astonished; be desolate","be made desolate; be appalled","be desolate; be appalled",,"be astonished","make desolated","desolation",,,,,,,,,,"Section_no04","C",86,"Section no02","L"
,486,82,6934,"QLL[","קלל ",,,,,,"geminate",", , , geminate","geminate","verb","hif hit nif piel pual qal","be light, small, insignificant; be swift",,,,"Mitchel_Sec4.C (85-79)",,,"pi: declare cursed; qal: be slight, be trifling, swift; ni: appear swift, insignificant, easy; humble oneself; pu: be declared cursed; hit: be shaken; hi: make light.","pi: declare cursed; qal: be slight, be trifling, swift; qal pass: ; ni: appear swift, insignificant, easy; humble oneself; pu: be declared cursed; hit: be shaken; hi: make light; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=3","be slight, be trifling, swift","appear swift, insignificant, easy; humble oneself","declare cursed","be declared cursed","be shaken","make light",,,,,,,,,,,"Section_no04","D",82,"Section no03","A"
,498,80,6301,"PLL[","פלל I",,,,,,"geminate",", , , geminate","geminate","verb","hit","pray",,,,"Mitchel_Sec4.C (85-79)",,,"hit: pray.","hit: pray; qal: ; qal pass: ; ni: ; pi: ; pu: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=5",,,,,"pray",,,,,,,,,,,,"Section_no04","D",80,"Section no03","A"
,605,63,8404,"TMM[","תמם ",,,,,,"geminate",", , , geminate","geminate","verb","hif hit qal","be complete, finished; come to an end",,,,"Mitchel_Sec4.G (65-63)",,,"qal: be complete, be finished; come to an end; hit: deal in integrity; hi: finish; destroy.","qal: be complete, be finished; come to an end; qal pass: ; ni: ; pi: ; pu: ; hit: deal in integrity; hi: finish; destroy; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","be complete, be finished; come to an end",,,,"deal in integrity","finish; destroy",,,,,,,,,,,"Section_no05","B",63,"Section no03","G"
,641,58,7582,"CDD[","שׁדד ",,,,,,"geminate",", , , geminate","geminate","verb","hof nif piel pual qal","ravage",,,,"Mitchel_Sec4.I (57-55)",,,"qal: devastate, lay waste; ni: be ravaged; pi: maltreat; devastate; pu: be devastated; ho: be devastated.","qal: devastate, lay waste; qal pass: ; ni: be ravaged; pi: maltreat; devastate; pu: be devastated; hit: ; hi: ; ho: be devastated; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","devastate, lay waste","be ravaged","maltreat; devastate","be devastated",,,"be devastated",,,,,,,,,,"Section_no05","D",58,"Section no03","I"
,693,53,3936,"MDD[","מדד ",,,,,,"geminate",", , , geminate","geminate","verb","hit nif piel qal","measure",,,,"Mitchel_Sec4.K (52-50)",,,"qal: measure; ni: be measured; pi: measure; hit: measure oneself, stretch.","qal: measure; qal pass: ; ni: be measured; pi: measure; pu: ; hit: measure oneself, stretch; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","measure","be measured","measure",,"measure oneself, stretch",,,,,,,,,,,,"Section_no05","F",53,"Section no03","K"
,809,44,1043,"BLL[","בלל ",,,,,,"geminate",", , , geminate","geminate","verb","hif hit qal","moisten; mix",,,,"Mitchel_Sec5.D (43-42)",,,"qal: moisten; confuse, confound; hit: be thrown about; hi: wither.","qal: moisten; confuse, confound; qal pass: ; ni: ; pi: ; pu: ; hit: be thrown about; hi: wither; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","moisten; confuse, confound",,,,"be thrown about","wither",,,,,,,,,,,"Remaining",,44,"Remaining",
,828,43,916,"BZZ[","בזז ",,,,,,"geminate",", , , geminate","geminate","verb","nif pual qal","plunder",,,,"Mitchel_Sec5.D (43-42)",,,"qal: plunder; ni: be plundered; pu: be plundered.","qal: plunder; qal pass: ; ni: be plundered; pi: ; pu: be plundered; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","plunder","be plundered",,"be plundered",,,,,,,,,,,,,"Remaining",,43,"Remaining",
,1116,30,1739,"DMM[","דמם ",,,,,,"geminate",", , , geminate","geminate","verb","hif nif piel qal","be silent, rest",,,,"Mitchel_Sec5.P (22)",,,"qal: stand still, keep still; ni: be made silent; pi: quiet, still; hi: cause to stand still.","qal: stand still, keep still; qal pass: ; ni: be made silent; pi: quiet, still; pu: ; hit: ; hi: cause to stand still; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","stand still, keep still","be made silent","quiet, still",,,"cause to stand still",,,,,,,,,,,"Remaining",,30,"Remaining",
,1432,21,4416,"MSS[","מסס ",,,,,,"geminate",", , , geminate","geminate","verb","hif nif qal","melt",,,,"Mitchel_Sec5.Q (21)",,,"ni: dissolve; qal: lose courage; hi: cause to melt.","ni: dissolve; qal: lose courage; qal pass: ; pi: ; pu: ; hit: ; hi: cause to melt; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","N=2","lose courage","dissolve",,,,"cause to melt",,,,,,,,,,,"Remaining",,21,"Remaining",
,1582,18,5381,"SKK[","סכך I",,,,,,"geminate",", , , geminate","geminate","verb","hif qal","shut off, keep hidden",,,,"Mitchel_Sec5.O (23)",,,"qal: isolate, cover; hi: shut up; sprawl (legs).","qal: isolate, cover; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: shut up; sprawl (legs); ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","isolate, cover",,,,,"shut up; sprawl (legs)",,,,,,,,,,,"Remaining",,18,"Remaining",
,1631,17,1486,"GLL[","גלל ",,,,,,"geminate",", , , geminate","geminate","verb","hit nif piel pual qal","roll",,,,"Mitchel_Sec5.W (15)",,,"qal: roll; ni: be rolled together, roll; pi: roll; pu: be rolled; hit: roll oneself.","qal: roll; qal pass: ; ni: be rolled together, roll; pi: roll; pu: be rolled; hit: roll oneself; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","roll","be rolled together, roll","roll","be rolled","roll oneself",,,,,,,,,,,,"Remaining",,17,"Remaining",
,1641,17,3681,"KTT[","כתת ",,,,,,"geminate",", , , geminate","geminate","verb","hif hof piel pual qal","crush",,,,"Mitchel_Sec5.U (17)",,,"pi: crush to pieces; qal: beat fine, pound up; pu: be crushed to pieces; hi: scatter; ho: be crushed to pieces, be scattered.","pi: crush to pieces; qal: beat fine, pound up; qal pass: ; ni: ; pu: be crushed to pieces; hit: ; hi: scatter; ho: be crushed to pieces, be scattered; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=3","beat fine, pound up",,"crush to pieces","be crushed to pieces",,"scatter","be crushed to pieces, be scattered",,,,,,,,,,"Remaining",,17,"Remaining",
,1795,15,1421,"GZZ[","גזז ",,,,,,"geminate",", , , geminate","geminate","verb","nif qal","shear, cut",,,,"Mitchel_Sec5.W (15)",,,"qal: shear, cut; ni: be cut.","qal: shear, cut; qal pass: ; ni: be cut; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","shear, cut","be cut",,,,,,,,,,,,,,,"Remaining",,15,"Remaining",
,1813,15,6810,"QDD[","קדד ",,,,,,"geminate",", , , geminate","geminate","verb","qal","kneel down",,,,"Mitchel_Sec5.W (15)",,,"qal: bow down, kneel down.","qal: bow down, kneel down; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","bow down, kneel down",,,,,,,,,,,,,,,,"Remaining",,15,"Remaining",
,1848,14,7867,"CLL[","שׁלל I",,,,,,"geminate",", , , geminate","geminate","verb","etpa hit qal","plunder",,,,"Mitchel_Sec5.Y (13)",,,"qal: plunder, spoil; hit: be plundered; etp: be plundered.","qal: plunder, spoil; qal pass: ; ni: ; pi: ; pu: ; hit: be plundered; hi: ; ho: ; hst: ; etp: be plundered; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","plunder, spoil",,,,"be plundered",,,,,"be plundered",,,,,,,"Remaining",,14,"Remaining",
,1894,14,6792,"QBB[","קבב ",,,,,,"geminate",", , , geminate","geminate","verb","qal","curse",,,,"Mitchel_Sec5.Y (13)",,,"qal: curse.","qal: curse; qal pass: ; ni: ; pi: ; pu: ; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","Q=1","curse",,,,,,,,,,,,,,,,"Remaining",,14,"Remaining",
,1899,14,7010,"QYY[","קצץ ",,,,,,"geminate",", , , geminate","geminate","verb","piel pual qal","cut off",,,,"Mitchel_Sec5.X (14)",,,"pi: cut off, trim; qal: cut off; pu: be hewn off.","pi: cut off, trim; qal: cut off; qal pass: ; ni: ; pu: be hewn off; hit: ; hi: ; ho: ; hst: ; etp: ; nitp: ; hotpa: ; tif: ; hitpo: ; poa: ; poe: .","P=3","cut off",,"cut off, trim","be hewn off",,,,,,,,,,,,,"Remaining",,14,"Remaining",
